"Following invalidated cache types has been flushed: %1.","Following invalidated cache types has been flushed: %1."
"There are no invalidated cache types to be flushed.","There are no invalidated cache types to be flushed."
"An error occurred while refreshing cache.","An error occurred while refreshing cache."
"Flush Invalidated Cache","Flush Invalidated Cache"
